region_name,province,type,subtype
Vernon,BC,Single Family,
Kelowna,BC,MultiFamily,
Kelowna,BC,Condo/Townhome,
Cochrane,AB,Townhome,
Cochrane,AB,Townhome,
Maple Ridge,BC,Single Family,
Kelowna,BC,Condo,
Fairmont Hot Springs,BC,Condo,
Fernie,BC,Single Family,
Radium Hot Springs,BC,Condo,
Kelowna,BC,Condo,
Castlegar,BC,Single Family,
Kelowna,BC,Condo,
Summerland,BC,Single Family,
Red Deer,AB,Single Family,
Saskatoon,SK,Single Family,
Calgary,AB,Condo,
Port Moody,BC,Townhome,
Naramata,BC,Single Family,
Richmond,BC,Condo,
Rural Strathcona County,AB,Single Family,
Vancouver,BC,Duplex,
Vancouver,BC,Condo,
Coaldale,AB,Condo,
Vancouver,BC,Single Family,
Kamloops,BC,Single Family,
Naramata,BC,Single Family,
Penticton,BC,Condo,
Armstrong,BC,Single Family,
Vernon,BC,Single Family,
Surrey,BC,Townhome,
Prince George,BC,Single Family,
Calgary,AB,Condo/Townhome,
North Vancouver,BC,Duplex,
Campbell River,BC,Condo,
Saskatoon,SK,Condo/Townhome,
Saskatoon,SK,Condo,
Calgary,AB,Single Family,
Diamond Valley,AB,Single Family,
Vancouver,BC,Condo,
Sechelt,BC,Townhome,
Burnaby,BC,Condo,
Airdrie,AB,Single Family,
Parksville,BC,Condo,
Vancouver,BC,Condo,
Courtenay,BC,Condo,
Coldstream,BC,Single Family,
Kamloops,BC,Single Family,
Oliver,BC,Single Family,
Kelowna,BC,Condo,
Calgary,AB,Single Family,
Vancouver,BC,Condo,
West Vancouver,BC,Single Family,
Golden,BC,Single Family,
Kaslo,BC,Single Family,
West Kelowna,BC,Single Family,
Lethbridge,AB,Single Family,
Maple Ridge,BC,Townhome,
Gibsons,BC,Single Family,
Maple Ridge,BC,Condo,
Parksville,BC,Single Family,
Jaffray,BC,Single Family,
Grande Prairie,AB,Single Family,
Calgary,AB,Condo,
Calgary,AB,Condo,
New Westminster,BC,Condo,
Edmonton,AB,Condo,
Meadow Lake,SK,Single Family,
High River,AB,Single Family,
West Vancouver,BC,Single Family,
Vancouver,BC,Townhome,
Parksville,BC,Condo,
Invermere,BC,Condo,
New Denver,BC,Single Family,
Calgary,AB,Condo,
Comox,BC,Single Family,
Heritage Pointe,AB,Single Family,
Vancouver,BC,Townhome,
Nanaimo,BC,Condo,
Chilliwack,BC,Single Family,
Vancouver,BC,Condo,
Saskatoon,SK,Single Family,
Calgary,AB,Duplex,
Nanaimo,BC,Condo,
Grande Prairie,AB,Single Family,
Vancouver,BC,Condo,
Prince George,BC,Condo,
Port Moody,BC,Condo,
Grande Prairie,AB,Single Family,
Grande Prairie,AB,Single Family,
Nanaimo,BC,Condo,
Qualicum Beach,BC,Single Family,
Vancouver,BC,Condo,
Denman Island,BC,Single Family,
Surrey,BC,Condo,
Vancouver,BC,Condo,
Vancouver,BC,Single Family,
Nanaimo,BC,Condo,
Surrey,BC,Condo/Townhome,
Canmore,AB,Townhome,
Chestermere,AB,Single Family,
Calgary,AB,Condo,
Calgary,AB,Single Family,
Calgary,AB,Single Family,
Calgary,AB,Townhome,
Calgary,AB,Duplex,
Nanaimo,BC,Condo,
Vancouver,BC,Condo,
Saskatoon,SK,Mobile Home,
Saskatoon,SK,Single Family,
Nanaimo,BC,Condo,
Rural Saddle Hills County,AB,Single Family,
Canmore,AB,Condo/Townhome,
Lloydminster,SK,Duplex,
North Vancouver,BC,Single Family,
Vancouver,BC,Condo,
Royston,BC,Single Family,
North Vancouver,BC,Condo,
Surrey,BC,Condo,
Coquitlam,BC,Condo,
West Vancouver,BC,Single Family,
Nanaimo,BC,Condo,
Naramata,BC,Single Family,
Nanaimo,BC,Condo,
Anmore,BC,Single Family,
Vancouver,BC,Single Family,
Richmond,BC,Condo/Townhome,
Vancouver,BC,Condo,
Nanaimo,BC,Condo,
Courtenay,BC,Single Family,
Airdrie,AB,Single Family,
Vancouver,BC,Condo,
Comox,BC,Townhome,
Nanaimo,BC,Condo,
Calgary,AB,Duplex,
Vancouver,BC,Condo/Townhome,
North Vancouver,BC,Condo,
Nanoose Bay,BC,Single Family,
Vancouver,BC,Single Family,
Nanaimo,BC,Condo,
Calgary,AB,Condo,
Langley,BC,Single Family,
Delta,BC,Single Family,
Surrey,BC,Single Family,
Vancouver,BC,Condo,
Vancouver,BC,Condo,
Maple Ridge,BC,Condo,
Vancouver,BC,Townhome,
Vancouver,BC,Condo,
Burnaby,BC,Condo,
Peace River,AB,Mobile Home,
Calgary,AB,Duplex,
Nanaimo,BC,Condo,
Vancouver,BC,Condo,
Airdrie,AB,Single Family,
New Westminster,BC,Condo,
Vancouver,BC,Condo,
Maple Ridge,BC,Single Family,
Vancouver,BC,Condo,
Port Coquitlam,BC,Single Family,
Vancouver,BC,Townhome,
Calgary,AB,Single Family,
Bow Island,AB,Condo/Townhome,
